100,20,3,2400,1
100,20,3,2400,2
100,20,3,2400,3
100,20,3,2400,4
100,20,3,2400,5
100,20,3,2400,6
100,20,3,2400,7
100,20,3,2400,8
100,20,3,2400,9
100,20,3,2400,10
100,20,3,2400,11
100,20,3,2400,12
100,20,3,2400,13
100,20,3,2400,14
100,20,3,2400,15
100,20,3,2400,16
100,20,3,2400,17
100,20,3,2400,18
100,20,3,2400,19
100,20,3,2400,20
100,20,3,2400,21
100,20,3,2400,22
100,20,3,2400,23
100,20,3,2400,24
100,20,3,2400,25
100,20,3,2400,26
100,20,3,2400,27
100,20,3,2400,28
100,20,3,2400,29
100,20,3,2400,30
100,50,3,2400,1
100,50,3,2400,2
100,50,3,2400,3
100,50,3,2400,4
100,50,3,2400,5
100,50,3,2400,6
100,50,3,2400,7
100,50,3,2400,8
100,50,3,2400,9
100,50,3,2400,10
100,50,3,2400,11
100,50,3,2400,12
100,50,3,2400,13
100,50,3,2400,14
100,50,3,2400,15
100,50,3,2400,16
100,50,3,2400,17
100,50,3,2400,18
100,50,3,2400,19
100,50,3,2400,20
100,50,3,2400,21
100,50,3,2400,22
100,50,3,2400,23
100,50,3,2400,24
100,50,3,2400,25
100,50,3,2400,26
100,50,3,2400,27
100,50,3,2400,28
100,50,3,2400,29
100,50,3,2400,30
100,150,3,2400,1
100,150,3,2400,2
100,150,3,2400,3
100,150,3,2400,4
100,150,3,2400,5
100,150,3,2400,6
100,150,3,2400,7
100,150,3,2400,8
100,150,3,2400,9
100,150,3,2400,10
100,150,3,2400,11
100,150,3,2400,12
100,150,3,2400,13
100,150,3,2400,14
100,150,3,2400,15
100,150,3,2400,16
100,150,3,2400,17
100,150,3,2400,18
100,150,3,2400,19
100,150,3,2400,20
100,150,3,2400,21
100,150,3,2400,22
100,150,3,2400,23
100,150,3,2400,24
100,150,3,2400,25
100,150,3,2400,26
100,150,3,2400,27
100,150,3,2400,28
100,150,3,2400,29
100,150,3,2400,30
