enetLTS,MIProb,MIP
-1.6130687933581525,-0.18169759086219808,0.06820954103244246
-0.005600489576826262,0.030915414188268913,0.011275735214068206
0.0,-0.0,0.0
0.0031116722988122725,-0.0,0.0
-0.025061171751316128,-0.0,0.0
-0.022998248500896015,-0.0,0.0
-0.041816029825908124,-0.0,-0.003257956907841677
-0.008733561127389641,-0.0,0.0
0.00944187213360212,-0.0,0.0
0.02923618885857172,-0.0,0.0
-0.00032127759781893365,-0.0,0.0
-0.00556840408585536,0.001406005779036675,0.0
-0.0037711824586991673,-0.0,0.0
0.0016571470133037293,-0.0,0.0
-0.012921679404414462,-0.013967082468434209,-0.005815659357170231
-0.021693767507940866,-0.016579796025478922,-0.008162012106715246
0.008506894774452411,-0.0,-0.0
-0.0036609840788469176,-0.0,-0.0
0.00257776605495384,-0.0,-0.0
1.623371694088913,-0.0,0.0
-0.5595524462483044,-0.0,0.0
14.856965821531887,-0.0,0.0
1.3566334362707964,-0.0,-0.0
